,Ln,Dn,Ds,DForm,OForm,Box,WR,RB,TE,Play,Player,Type,Yards,description,YTEZ,YTG,PassDown,Block,RollingAvg5,RollingAvg10,RollingAvg20,RollingAvg40,TypeNum,YardsGained,NetYards,Catch,Success,NetSuccess,3yds,PenaltyYards,FirstDown,BigPlay,BigPlay10+,BigPlay20+,BigPlay30+,BigPlay40+,Game,PlayNum,Year
150,o6,3,g,nickel even,shotgun 3-wide,6.5,3.0,1.0,1.0,in,collins,pass,inc (pen +4),"
live i thought this was a bad throw the penalty bailed out nope this goes just over collins’s outstretched hand and the db has wrapped his arm around collins’s waist. easy call, td without interference. (ca, 0, protection 2/2)
",6,6,1,,0.6,0.6,0.5294117647058824,0.5294117647058824,1,,4.0,0.0,,1.0,0,4,1,0,0,0,0,0,2019-offense-vs-army,17,2019
151,o2,1,g,4-3 under,ace 3te,9,1.0,1.0,3.0,down g,charbonnet,run,2,"
easy td as m goes under center and brings out some last year stuff. onwenu(+1) pulls and obliterates edge guy. eubanks(+1) fires in de a long way. giant gap. all(+0.5) pulls around and gives a game effort on a lb; he stands him up, not moving the guy but he’s a wr. none of the other army guys have a shot. mayfield and ruiz shot a dl down but get split by him; he’s able to contact just before the goal line, fruitlessly. push for them. bredeson(-0.5) had a missed read at the beginning but is able to recover and get a shove in; charbonnet(+0.5) has to regap around this and does. nice feet.
",2,2,0,,0.8,0.6,0.5555555555555556,0.5555555555555556,0,2.0,2.0,,1.0,1.0,0,0,0,0,0,0,0,0,2019-offense-vs-army,18,2019
152,o21,1,10,base 3-4,shotgun twin te,7,2.0,1.0,2.0,sack,,pass,-7,"
corner blitz that turner(-2) fails to read until it’s too late; patterson is sack-stripped from his blindside. (pr, n/a, protection 0/2)
",21,10,0,,0.6,0.6,0.5263157894736842,0.5263157894736842,1,-7.0,-7.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,2019-offense-vs-army,19,2019
153,m6,1,10,4-3 over,shotgun trips te,7.5,3.0,1.0,1.0,rpo iz,charbonnet,run,4,"
onwenu(+1) and ruiz(+0.5) double through the playside tackle with onwenu jarring and sealing the mlb. mayfield(+0.5) gets a solid kick. charbonnet has to dodge an arm tackle from a falling dt and is off balance when the overhang s comes up. m has no block for him and he holds a well-blocked play down. rps -1.
",94,10,0,,0.6,0.6,0.55,0.55,0,4.0,4.0,,0.0,0.0,1,0,0,0,0,0,0,0,2019-offense-vs-army,20,2019
154,m10,2,6,nickel even,shotgun twins,6.5,2.0,1.0,2.0,arc iz,charbonnet,run,7,"
this is debatably a missed pull by patterson, who has a shuffle end he could certainly test. the shuffle end is held for a moment. mlb blitz is timed really well and ends up hammering through mckeon(-0.5), who has a tough job but does almost let this blitzer through to charbonnet. line slants away, ruiz(+0.5) and bredeson(+0.5) fire the nt way down the line as mayfield(+1) seals a dl after getting a yard of depth with help from onwenu(+1), who popped off to get the last lb. charbonnet is about to pop through to the secondary when the shuffle end gets him.
",90,6,0,,0.6,0.6,0.55,0.5238095238095238,0,7.0,7.0,,1.0,1.0,1,0,0,0,0,0,0,0,2019-offense-vs-army,21,2019
155,m17,1,10,nickel even,shotgun 3-wide,6.5,3.0,1.0,1.0,rpo stretch,charbonnet,run,2 (pen -8),"
so i don’t get the structure here. m threatens an rpo slant that holds a linebacker back and then they run a stretch away from this. it would be almost impossible to have this play make the rpo aspect useful. hayes(-2) and bredeson(-1) get split by the playside end, with hayes holding him. onwenu(-1) does not read the slant and chip a de mayfield has a slim chance of doing anything with. charbonnet cuts up and gets whacked.
",83,10,0,,0.4,0.5,0.5,0.5,0,,,,,,0,-8,0,0,0,0,0,0,2019-offense-vs-army,22,2019
156,m9,1,19,4-3 even,shotgun 3-wide,7,3.0,1.0,1.0,arc power,charbonnet,run,11,"
bell pulls around as the arc blocker, interesting tweak. patterson(+0.5) looking at a free overhang guy and a shuffle end, give. power. onwenu(+1) and mayfield(+0.5) hammer the playside dt downfield and get in the mlb’s way. mayfield falls, so the lb can jump over him and get in an ankle tackle attempt. doesn’t come off but does slow charbonnet. bredeson(+1) pulled around and thunked a de inside, good adjustment as he’s diving inside. mckeon(+0.5) comes in and get a lb trying to set the edge. charbonnet(+1) jets through this gap right at the moment mckeon makes contact and is able to dodge the lb, but this makes him easier to clean up for the rest of the d. he runs through a second tackle for some more yac.
",91,19,0,,0.2,0.5,0.5,0.4782608695652174,0,11.0,11.0,,1.0,1.0,1,0,0,0,1,0,0,0,2019-offense-vs-army,23,2019
157,m20,2,7,base 3-4,shotgun 3-wide tight,7,2.0,1.0,2.0,out,collins,pass,14,"
corner blitz almost gets charbonnet but he’s able to find it and hit the dude. this gives patterson time to loop a lovely touch pass to collins over a reasonably well positioned zone defender. (do, 3, protection 2/2)
",80,7,0,,0.2,0.4,0.45,0.4583333333333333,1,14.0,14.0,1.0,1.0,1.0,1,0,0,0,1,0,0,0,2019-offense-vs-army,24,2019
158,m34,1,10,404 base,shotgun 3-wide,7.5,3.0,1.0,1.0,rpo stretch,vansumeren,run,3,"
again: don’t get it. same thing charbonnet just got two yards on. reasonably well blocked except for mckeon(-1) getting tossed aside even after mayfield gives him a chip. onwenu(+0.5) stops and cuts off a slanter; mayfield(+1) got the good chip and then gets playside lb. mckeon’s guy comes off to tackle after a short gain; otherwise bvs probably gets 6-8 depending on how badly he plows the overhang db. bvs(-3) then fumbles. goodbye, other running backs.
",66,10,0,,0.2,0.4,0.5,0.48,0,3.0,3.0,,0.0,0.0,1,0,0,0,0,0,0,0,2019-offense-vs-army,25,2019
159,m23,1,10,nickel even,shotgun trips,6,3.0,1.0,1.0,scramble,patterson,pass,6,"
2:46 on clock to start drive. dropback, all day, patterson doesn’t find anyone and breaks the pocket. he’s got a nice gain, and then he slides to snap three yards off of it. ban slides! (scr, n/a, protection 2/2)
",77,10,0,,0.2,0.4,0.5,0.46153846153846156,1,6.0,6.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0,2019-offense-vs-army,26,2019
